3 Strukturdaten des Landes Berlin;;;;;;;;
"3.2 Melderechtlich registrierte Deutsche und Unionsbürgerinnen und Unionsbürger im 
      Alter von 16 und mehr Jahren am Ort der Hauptwohnung in Berlin am
      30. Juni 2022 (BVV-Wahlberechtigte) nach Bezirken und Wahlkreisen         ";;;;;;;;
;;;;;;;;
"Bezirk
Wahlkreis";"Ins-
gesamt";Und zwar;;;;;;
;;Deutsche 16 Jahre und älter weiblich;;"Unionsbürgerinnen
und Unionsbürger";;16 bis unter 18 Jahre;;
;;Anzahl;"in %
Sp. 1";Anzahl;"in %
Sp. 1";Anzahl;"in %
Sp. 1";
;1;2;3;4;5;6;7;
;;;;;;;;
;Mitte;;;;;;;
1; 36 655; 15 176;  41,4; 5 807;  15,8;  657;  1,8;
2; 38 818; 16 569;  42,7; 5 395;  13,9;  536;  1,4;
3; 35 819; 14 902;  41,6; 5 274;  14,7;  618;  1,7;
4; 35 791; 14 127;  39,5; 6 064;  16,9;  654;  1,8;
5; 33 286; 14 523;  43,6; 4 988;  15,0;  594;  1,8;
6; 34 875; 13 478;  38,6; 7 135;  20,5;  991;  2,8;
7; 34 848; 14 310;  41,1; 5 592;  16,0;  916;  2,6;
Insgesamt; 250 092; 103 085;  41,2; 40 255;  16,1; 4 966;  2,0;
;;;;;;;;
;Friedrichshain-Kreuzberg;;;;;;;
1; 34 334; 14 630;  42,6; 4 723;  13,8;  754;  2,2;
2; 31 822; 13 267;  41,7; 4 988;  15,7;  630;  2,0;
3; 33 288; 14 497;  43,6; 4 185;  12,6;  877;  2,6;
4; 32 180; 14 517;  45,1; 3 587;  11,1;  471;  1,5;
5; 33 660; 13 995;  41,6; 4 720;  14,0;  481;  1,4;
6; 33 558; 13 530;  40,3; 5 235;  15,6;  377;  1,1;
Insgesamt; 198 842; 84 436;  42,5; 27 438;  13,8; 3 590;  1,8;
;;;;;;;;
;Pankow;;;;;;;
1; 36 589; 18 424;  50,4; 1 133;  3,1;  834;  2,3;
2; 35 070; 17 690;  50,4; 1 287;  3,7;  883;  2,5;
3; 35 562; 18 293;  51,4; 1 595;  4,5;  765;  2,2;
4; 30 460; 15 487;  50,8; 1 123;  3,7;  529;  1,7;
5; 32 701; 16 121;  49,3; 1 968;  6,0;  551;  1,7;
6; 36 151; 15 560;  43,0; 4 729;  13,1;  700;  1,9;
7; 33 699; 15 425;  45,8; 3 341;  9,9;  515;  1,5;
8; 34 274; 14 814;  43,2; 4 472;  13,0;  775;  2,3;
9; 36 830; 17 637;  47,9; 3 060;  8,3;  761;  2,1;
Insgesamt; 311 336; 149 451;  48,0; 22 708;  7,3; 6 313;  2,0;
;;;;;;;;
;Charlottenburg-Wilmersdorf;;;;;;;
1; 32 836; 15 176;  46,2; 3 938;  12,0;  545;  1,7;
2; 34 201; 16 750;  49,0; 2 707;  7,9;  609;  1,8;
3; 34 559; 16 476;  47,7; 3 296;  9,5;  580;  1,7;
4; 36 547; 16 772;  45,9; 4 264;  11,7;  584;  1,6;
5; 34 028; 16 483;  48,4; 3 171;  9,3;  532;  1,6;
6; 35 490; 16 640;  46,9; 3 787;  10,7;  568;  1,6;
7; 35 270; 17 897;  50,7; 2 547;  7,2;  629;  1,8;
Insgesamt; 242 931; 116 194;  47,8; 23 710;  9,8; 4 047;  1,7;
;;;;;;;;
;Spandau;;;;;;;
1; 37 629; 18 281;  48,6; 2 993;  8,0;  760;  2,0;
2; 33 571; 15 203;  45,3; 4 189;  12,5;  653;  1,9;
3; 37 708; 17 262;  45,8; 4 321;  11,5;  776;  2,1;
4; 34 592; 16 739;  48,4; 2 599;  7,5;  843;  2,4;
5; 34 618; 17 024;  49,2; 2 080;  6,0;  859;  2,5;
Insgesamt; 178 118; 84 509;  47,4; 16 182;  9,1; 3 891;  2,2;
;;;;;;;;
;Steglitz-Zehlendorf;;;;;;;
1; 34 944; 17 424;  49,9; 2 584;  7,4;  576;  1,6;
2; 34 023; 16 869;  49,6; 2 537;  7,5;  578;  1,7;
3; 36 198; 18 562;  51,3; 1 876;  5,2;  892;  2,5;
4; 31 339; 15 783;  50,4; 1 814;  5,8;  643;  2,1;
5; 32 322; 16 538;  51,2; 1 947;  6,0;  589;  1,8;
6; 33 899; 17 632;  52,0; 1 745;  5,1;  851;  2,5;
7; 32 137; 16 188;  50,4; 1 599;  5,0;  817;  2,5;
Insgesamt; 234 862; 118 996;  50,7; 14 102;  6,0; 4 946;  2,1;
;;;;;;;;
;Tempelhof-Schöneberg;;;;;;;
1; 39 306; 16 743;  42,6; 4 857;  12,4;  765;  1,9;
2; 37 210; 17 033;  45,8; 3 924;  10,5;  594;  1,6;
3; 37 232; 18 393;  49,4; 2 828;  7,6;  759;  2,0;
4; 36 485; 17 732;  48,6; 3 353;  9,2;  640;  1,8;
5; 36 429; 17 647;  48,4; 3 117;  8,6;  617;  1,7;
6; 34 351; 17 311;  50,4; 1 943;  5,7;  747;  2,2;
7; 34 763; 17 443;  50,2; 1 624;  4,7;  765;  2,2;
Insgesamt; 255 776; 122 302;  47,8; 21 646;  8,5; 4 887;  1,9;
;;;;;;;;
;Neukölln;;;;;;;
1; 39 234; 16 369;  41,7; 6 969;  17,8;  695;  1,8;
2; 40 003; 15 951;  39,9; 7 549;  18,9;  817;  2,0;
3; 39 835; 17 049;  42,8; 5 926;  14,9; 1 053;  2,6;
4; 35 537; 17 991;  50,6; 2 099;  5,9;  764;  2,1;
5; 35 588; 17 614;  49,5; 1 929;  5,4;  694;  2,0;
6; 34 986; 17 482;  50,0; 1 561;  4,5;  767;  2,2;
Insgesamt; 225 183; 102 456;  45,5; 26 033;  11,6; 4 790;  2,1;
;;;;;;;;
;Treptow-Köpenick;;;;;;;
1; 39 104; 18 723;  47,9; 2 954;  7,6;  558;  1,4;
2; 38 772; 18 479;  47,7; 2 474;  6,4;  644;  1,7;
3; 37 936; 18 431;  48,6; 1 871;  4,9;  765;  2,0;
4; 38 603; 18 988;  49,2; 1 766;  4,6;  646;  1,7;
5; 31 047; 15 861;  51,1;  812;  2,6;  522;  1,7;
6; 35 290; 18 566;  52,6;  765;  2,2;  620;  1,8;
Insgesamt; 220 752; 109 048;  49,4; 10 642;  4,8; 3 755;  1,7;
;;;;;;;;
;Marzahn-Hellersdorf;;;;;;;
1; 33 982; 16 304;  48,0; 1 714;  5,0;  844;  2,5;
2; 35 278; 17 231;  48,8; 1 582;  4,5;  614;  1,7;
3; 37 212; 17 637;  47,4; 3 101;  8,3;  829;  2,2;
4; 36 809; 18 323;  49,8; 1 275;  3,5;  627;  1,7;
5; 34 825; 17 464;  50,1;  508;  1,5;  649;  1,9;
6; 33 205; 16 402;  49,4; 1 589;  4,8;  671;  2,0;
Insgesamt; 211 311; 103 361;  48,9; 9 769;  4,6; 4 234;  2,0;
;;;;;;;;
;Lichtenberg;;;;;;;
1; 36 327; 17 854;  49,1; 1 747;  4,8;  789;  2,2;
2; 35 375; 17 303;  48,9; 1 639;  4,6;  688;  1,9;
3; 38 043; 17 801;  46,8; 3 418;  9,0;  584;  1,5;
4; 37 375; 17 445;  46,7; 3 227;  8,6;  582;  1,6;
5; 36 532; 17 401;  47,6; 2 520;  6,9;  472;  1,3;
6; 33 121; 16 667;  50,3; 1 513;  4,6;  694;  2,1;
Insgesamt; 216 773; 104 471;  48,2; 14 064;  6,5; 3 809;  1,8;
;;;;;;;;
;Reinickendorf;;;;;;;
1; 32 704; 14 799;  45,3; 4 070;  12,4;  645;  2,0;
2; 33 091; 14 755;  44,6; 4 108;  12,4;  647;  2,0;
3; 32 128; 16 205;  50,4; 1 377;  4,3;  634;  2,0;
4; 36 469; 17 882;  49,0; 2 218;  6,1;  662;  1,8;
5; 29 773; 14 501;  48,7; 2 285;  7,7;  920;  3,1;
6; 29 407; 15 051;  51,2;  930;  3,2;  660;  2,2;
Insgesamt; 193 572; 93 193;  48,1; 14 988;  7,7; 4 168;  2,2;