;Zu- und Fortzüge¹ in Berlin 2022;;;;;
;Bezirk;Zuzüge;Fortzüge;Saldo;Wanderungssaldo je 1 000 Einwohner²;
;;;;;;
01;Mitte;55.287;45.380;9.907;x;
02;Friedrichshain-Kreuzberg;36.164;32.068;4.096;x;
03;Pankow;41.419;33.537;7.882;x;
04;Charlottenburg-Wilmersdorf;43.337;33.681;9.656;x;
05;Spandau;23.136;15.617;7.519;x;
06;Steglitz-Zehlendorf;28.187;22.433;5.754;x;
07;Tempelhof-Schöneberg;35.551;29.274;6.277;x;
08;Neukölln;28.670;26.025;2.645;x;
09;Treptow-Köpenick;29.060;19.361;9.699;x;
10;Marzahn-Hellersdorf;23.789;15.584;8.205;x;
11;Lichtenberg;32.501;23.797;8.704;x;
12;Reinickendorf;29.337;25.097;4.240;x;
;Berlin;406.438;321.854;84.584;22,8;
;;;;;;
;1 über die Bezirksgrenze;;;;;
;"2 bezogen auf die Durchschnittsbevölkerung; aus methodischen Gründen keine Angabe für die Berliner Bezirke";;;;;